"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Cozy room with balcony","2021-10-03","within a few hours",100,100,"f",1,1,"t","t","Private room",2,1,NA,63,1,365,147,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",2,NA,54,"Amsterdam"
"Comfortable family home 2 adults 3 kids up to 12","2016-09-20","a few days or more",0,NA,"f",1,1,"t","t","Entire home/apt",5,3,4,187,4,1125,3,4,0,0,4.75,4.75,5,4.75,5,4.75,5,"f",1,0.08,1893,"Amsterdam"
"Romantic Get Away@Prinsengracht!!","2016-02-24","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,130,3,1124,0,28,0,0,4.74,4.89,4.77,4.73,4.96,4.92,4.62,"f",1,0.52,2102,"Amsterdam"
"Houseboat with a panoramic city-view","2018-06-12","N/A",NA,NA,"t",1,1,"t","t","Private room",2,1,1,80,2,28,322,131,16,3,4.83,4.87,4.9,4.92,4.95,4.79,4.79,"f",1,3.26,1263,"Amsterdam"
"Romantic apartment in city centre","2012-09-26","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,147,3,1125,5,14,5,1,4.92,5,5,4.69,4.92,4.85,5,"f",1,0.62,3348,"Amsterdam"
"RedLight District Smokers Friendly Private Studio","2018-10-22","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,97,2,4,297,6,6,1,4.83,4.83,4.67,5,5,4.83,4.67,"t",2,4.29,1131,"Amsterdam"
"City center apt, with parking place","2013-07-18","within a day",60,40,"f",2,2,"t","t","Entire home/apt",2,1,1,108,2,1125,0,93,3,0,4.87,4.97,4.8,4.91,4.95,4.76,4.7,"f",1,1.06,3053,"Amsterdam"
"Cosy Apartment with garden","2016-07-16","within an hour",100,55,"t",1,1,"t","t","Entire home/apt",2,1,1,86,2,15,0,45,4,0,4.96,4.98,4.98,5,5,4.82,4.86,"f",1,0.78,1959,"Amsterdam"
"Renovated modern studio near Albert Cuyp Market","2016-12-29","within an hour",100,100,"f",1,1,"t","t","Private room",2,1,1,106,1,1125,179,110,4,1,4.59,4.71,4.71,4.46,4.66,4.82,4.5,"t",1,1.92,1793,"Amsterdam"
"Bright appartement near center of Amsterdam","2017-05-08","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",4,2,2,250,2,1125,8,17,1,1,4.88,4.71,4.71,4.88,5,4.82,4.41,"t",1,0.36,1663,"Amsterdam"
"Family friendly apartment for cat lovers in East","2015-06-25","within a few hours",100,17,"f",1,1,"t","t","Entire home/apt",4,2,4,110,3,14,15,19,1,0,5,5,5,5,4.89,4.5,4.72,"f",1,0.25,2346,"Amsterdam"
"Newly built ensuite room on trendy Jordaan canal","2021-08-08","within an hour",100,97,"t",1,1,"t","f","Private room",2,1,1,91,1,365,250,14,14,9,4.79,4.93,4.79,5,5,4.93,4.57,"f",2,12.73,110,"Amsterdam"
"Living boat on one of the beautiful canals","2014-02-18","N/A",NA,NA,"f",2,2,"t","t","Private room",4,NA,2,131,3,5,309,10,0,0,4.7,4.8,4.7,4.89,4.8,5,4.44,"f",1,0.19,2838,"Amsterdam"
"Cozy, Modern and Bright apartment 2 guests","2015-10-12","within a day",70,55,"f",1,1,"t","t","Entire home/apt",2,1,1,112,2,5,337,8,3,1,5,5,5,5,5,4.86,4.71,"f",1,0.36,2237,"Amsterdam"
"2 bedroom 2 bathroom canal apartment","2019-06-19","within an hour",80,100,"f",0,0,"t","t","Private room",4,2,3,109,1,1125,153,11,0,0,4,4,4.09,4,4.18,4.64,4.27,"t",2,0.42,891,"Amsterdam"
"Cosy stylish apartment in De Pijp","2013-05-16","within a day",100,25,"f",1,1,"t","t","Entire home/apt",2,1,1,120,4,30,6,42,0,0,4.95,4.98,4.81,5,5,4.9,4.93,"f",1,0.44,3116,"Amsterdam"
"Sunny, stylish & cute apartment near city centre!","2019-07-03","within an hour",100,100,"f",0,0,"t","f","Entire home/apt",4,2,2,159,3,30,11,7,1,0,4.71,5,4.29,4.86,4.86,4.71,4.57,"t",1,0.25,877,"Amsterdam"
"Cozy room in lively apartement and neigbourhood","2015-11-04","within an hour",96,97,"f",3,3,"t","t","Private room",1,1,1,61,3,1125,342,4,4,0,4.25,4.5,3.75,4.5,4.75,4.75,4.25,"t",4,1.28,2214,"Amsterdam"
